year,code,clgname,branch,community,branchname,cutoff
2018,2711,"KONGU ENGINEERING COLLEGE (AUTONOMOUS),PERUNDURAI RAILWAY STATION ROAD,,ERODE DIST, PIN - 638060.",EI,BC,ELECTRONICS AND INSTRU ENGG.,173.5
2018,2711,"KONGU ENGINEERING COLLEGE (AUTONOMOUS),PERUNDURAI RAILWAY STATION ROAD,,ERODE DIST, PIN - 638060.",EE,BC,ELECTRICAL AND ELECTRONICS ENGG.,183
2018,2711,"KONGU ENGINEERING COLLEGE (AUTONOMOUS),PERUNDURAI RAILWAY STATION ROAD,,ERODE DIST, PIN - 638060.",FD,BC,FOOD TECHNOLOGY,182.75
2018,2711,"KONGU ENGINEERING COLLEGE (AUTONOMOUS),PERUNDURAI RAILWAY STATION ROAD,,ERODE DIST, PIN - 638060.",IT,BC,INFORMATION TECHNOLOGY,184.5
2018,2711,"KONGU ENGINEERING COLLEGE (AUTONOMOUS),PERUNDURAI RAILWAY STATION ROAD,,ERODE DIST, PIN - 638060.",MC,BC,MECHATRONICS,174.5
2018,2711,"KONGU ENGINEERING COLLEGE (AUTONOMOUS),PERUNDURAI RAILWAY STATION ROAD,,ERODE DIST, PIN - 638060.",ME,BC,MECHANICAL ENGINEERING,177.25
2017,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",AI,BC,1,195.25
2017,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",BY,BC,2,197.5
2017,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",CE,BC,3,198
2017,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",XC,BC,4,190.5
2017,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",CS,BC,5,199.5
2017,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",CM,BC,6,198.75
2017,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",EE,BC,7,199
2017,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",EM,BC,8,199
2017,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",EC,BC,9,199.75
2017,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",GI,BC,10,196
2017,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",IE,BC,11,196
2017,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",IM,BC,12,198
2017,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",MN,BC,13,196.5
2017,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",MA,BC,14,195.5
2017,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",ME,BC,15,199
2017,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",XM,BC,16,191
2017,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",MI,BC,17,196
2017,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",PT,BC,18,194.25
2017,4,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - MIT CAMPUS,CHROMPET,,KANCHEEPURAM DIST, PIN - 600044.",AE,BC,30,197.33
2017,4,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - MIT CAMPUS,CHROMPET,,KANCHEEPURAM DIST, PIN - 600044.",AU,BC,31,197
2017,4,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - MIT CAMPUS,CHROMPET,,KANCHEEPURAM DIST, PIN - 600044.",AS,BC,32,196.25
2017,4,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - MIT CAMPUS,CHROMPET,,KANCHEEPURAM DIST, PIN - 600044.",CS,BC,5,198.5
2017,4,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - MIT CAMPUS,CHROMPET,,KANCHEEPURAM DIST, PIN - 600044.",CM,BC,6,198.33
2017,4,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - MIT CAMPUS,CHROMPET,,KANCHEEPURAM DIST, PIN - 600044.",EM,BC,8,198.5
2017,4,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - MIT CAMPUS,CHROMPET,,KANCHEEPURAM DIST, PIN - 600044.",EC,BC,9,199
2017,4,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - MIT CAMPUS,CHROMPET,,KANCHEEPURAM DIST, PIN - 600044.",EX,BC,34,197.25
2017,4,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - MIT CAMPUS,CHROMPET,,KANCHEEPURAM DIST, PIN - 600044.",EI,BC,35,198
2017,4,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - MIT CAMPUS,CHROMPET,,KANCHEEPURAM DIST, PIN - 600044.",IM,BC,12,197.5
2017,4,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - MIT CAMPUS,CHROMPET,,KANCHEEPURAM DIST, PIN - 600044.",MF,BC,38,198.25
2017,4,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - MIT CAMPUS,CHROMPET,,KANCHEEPURAM DIST, PIN - 600044.",PR,BC,36,196.25
2017,4,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - MIT CAMPUS,CHROMPET,,KANCHEEPURAM DIST, PIN - 600044.",RP,BC,37,193.5
2017,2702,"BANNARI AMMAN INSTITUTE OF TECHNOLOGY (AUTONOMOUS),SATHY-BHAVANI (STATE HIGHWAY),,ERODE DIST, PIN - 638401.",EE,BC,7,186.25
2017,2702,"BANNARI AMMAN INSTITUTE OF TECHNOLOGY (AUTONOMOUS),SATHY-BHAVANI (STATE HIGHWAY),,ERODE DIST, PIN - 638401.",BT,BC,39,181
2017,2702,"BANNARI AMMAN INSTITUTE OF TECHNOLOGY (AUTONOMOUS),SATHY-BHAVANI (STATE HIGHWAY),,ERODE DIST, PIN - 638401.",EC,BC,9,189.5
2017,2702,"BANNARI AMMAN INSTITUTE OF TECHNOLOGY (AUTONOMOUS),SATHY-BHAVANI (STATE HIGHWAY),,ERODE DIST, PIN - 638401.",AU,BC,31,177.5
2017,2702,"BANNARI AMMAN INSTITUTE OF TECHNOLOGY (AUTONOMOUS),SATHY-BHAVANI (STATE HIGHWAY),,ERODE DIST, PIN - 638401.",CS,BC,5,188.5
2017,2702,"BANNARI AMMAN INSTITUTE OF TECHNOLOGY (AUTONOMOUS),SATHY-BHAVANI (STATE HIGHWAY),,ERODE DIST, PIN - 638401.",AG,BC,45,183.75
2017,2702,"BANNARI AMMAN INSTITUTE OF TECHNOLOGY (AUTONOMOUS),SATHY-BHAVANI (STATE HIGHWAY),,ERODE DIST, PIN - 638401.",TX,BC,29,180.25
2017,2702,"BANNARI AMMAN INSTITUTE OF TECHNOLOGY (AUTONOMOUS),SATHY-BHAVANI (STATE HIGHWAY),,ERODE DIST, PIN - 638401.",FT,BC,50,174.5
2017,2702,"BANNARI AMMAN INSTITUTE OF TECHNOLOGY (AUTONOMOUS),SATHY-BHAVANI (STATE HIGHWAY),,ERODE DIST, PIN - 638401.",ME,BC,15,185.25
2017,2702,"BANNARI AMMAN INSTITUTE OF TECHNOLOGY (AUTONOMOUS),SATHY-BHAVANI (STATE HIGHWAY),,ERODE DIST, PIN - 638401.",EI,BC,35,180.5
2017,2702,"BANNARI AMMAN INSTITUTE OF TECHNOLOGY (AUTONOMOUS),SATHY-BHAVANI (STATE HIGHWAY),,ERODE DIST, PIN - 638401.",FD,BC,51,181.25
2017,2702,"BANNARI AMMAN INSTITUTE OF TECHNOLOGY (AUTONOMOUS),SATHY-BHAVANI (STATE HIGHWAY),,ERODE DIST, PIN - 638401.",CE,BC,3,170.5
2017,2702,"BANNARI AMMAN INSTITUTE OF TECHNOLOGY (AUTONOMOUS),SATHY-BHAVANI (STATE HIGHWAY),,ERODE DIST, PIN - 638401.",IT,BC,33,183.5
2017,2702,"BANNARI AMMAN INSTITUTE OF TECHNOLOGY (AUTONOMOUS),SATHY-BHAVANI (STATE HIGHWAY),,ERODE DIST, PIN - 638401.",MC,BC,42,182.75
2017,2702,"BANNARI AMMAN INSTITUTE OF TECHNOLOGY (AUTONOMOUS),SATHY-BHAVANI (STATE HIGHWAY),,ERODE DIST, PIN - 638401.",AE,BC,30,170.5
2017,2006,"P.S.G. COLLEGE OF TECHNOLOGY (AUTONOMOUS),AVINASHI ROAD,,COIMBATORE DIST, PIN - 641004.",ES,BC,54,196.5
2017,2006,"P.S.G. COLLEGE OF TECHNOLOGY (AUTONOMOUS),AVINASHI ROAD,,COIMBATORE DIST, PIN - 641004.",MS,BC,55,197.25
2017,2006,"P.S.G. COLLEGE OF TECHNOLOGY (AUTONOMOUS),AVINASHI ROAD,,COIMBATORE DIST, PIN - 641004.",BS,BC,58,196.25
2017,2006,"P.S.G. COLLEGE OF TECHNOLOGY (AUTONOMOUS),AVINASHI ROAD,,COIMBATORE DIST, PIN - 641004.",EM,BC,8,198.75
2017,2006,"P.S.G. COLLEGE OF TECHNOLOGY (AUTONOMOUS),AVINASHI ROAD,,COIMBATORE DIST, PIN - 641004.",CM,BC,6,198.5
2017,2006,"P.S.G. COLLEGE OF TECHNOLOGY (AUTONOMOUS),AVINASHI ROAD,,COIMBATORE DIST, PIN - 641004.",CN,BC,56,197.5
2017,2006,"P.S.G. COLLEGE OF TECHNOLOGY (AUTONOMOUS),AVINASHI ROAD,,COIMBATORE DIST, PIN - 641004.",ME,BC,15,199.25
2017,2006,"P.S.G. COLLEGE OF TECHNOLOGY (AUTONOMOUS),AVINASHI ROAD,,COIMBATORE DIST, PIN - 641004.",RA,BC,57,196.5
2017,2006,"P.S.G. COLLEGE OF TECHNOLOGY (AUTONOMOUS),AVINASHI ROAD,,COIMBATORE DIST, PIN - 641004.",PN,BC,59,196
2017,2006,"P.S.G. COLLEGE OF TECHNOLOGY (AUTONOMOUS),AVINASHI ROAD,,COIMBATORE DIST, PIN - 641004.",AS,BC,32,196.25
2017,2006,"P.S.G. COLLEGE OF TECHNOLOGY (AUTONOMOUS),AVINASHI ROAD,,COIMBATORE DIST, PIN - 641004.",EE,BC,7,198.75
2017,2006,"P.S.G. COLLEGE OF TECHNOLOGY (AUTONOMOUS),AVINASHI ROAD,,COIMBATORE DIST, PIN - 641004.",EC,BC,9,199.25
2017,2006,"P.S.G. COLLEGE OF TECHNOLOGY (AUTONOMOUS),AVINASHI ROAD,,COIMBATORE DIST, PIN - 641004.",IM,BC,12,197.75
2017,2006,"P.S.G. COLLEGE OF TECHNOLOGY (AUTONOMOUS),AVINASHI ROAD,,COIMBATORE DIST, PIN - 641004.",TX,BC,29,195
2017,2006,"P.S.G. COLLEGE OF TECHNOLOGY (AUTONOMOUS),AVINASHI ROAD,,COIMBATORE DIST, PIN - 641004.",IY,BC,60,196.5
2017,2006,"P.S.G. COLLEGE OF TECHNOLOGY (AUTONOMOUS),AVINASHI ROAD,,COIMBATORE DIST, PIN - 641004.",MF,BC,38,198.75
2017,2006,"P.S.G. COLLEGE OF TECHNOLOGY (AUTONOMOUS),AVINASHI ROAD,,COIMBATORE DIST, PIN - 641004.",CE,BC,3,197.75
2017,2006,"P.S.G. COLLEGE OF TECHNOLOGY (AUTONOMOUS),AVINASHI ROAD,,COIMBATORE DIST, PIN - 641004.",MY,BC,61,195.5
2017,2006,"P.S.G. COLLEGE OF TECHNOLOGY (AUTONOMOUS),AVINASHI ROAD,,COIMBATORE DIST, PIN - 641004.",PR,BC,36,196.5
2017,2006,"P.S.G. COLLEGE OF TECHNOLOGY (AUTONOMOUS),AVINASHI ROAD,,COIMBATORE DIST, PIN - 641004.",MT,BC,62,196
2017,2006,"P.S.G. COLLEGE OF TECHNOLOGY (AUTONOMOUS),AVINASHI ROAD,,COIMBATORE DIST, PIN - 641004.",TT,BC,65,193.5
2017,2006,"P.S.G. COLLEGE OF TECHNOLOGY (AUTONOMOUS),AVINASHI ROAD,,COIMBATORE DIST, PIN - 641004.",FY,BC,64,192.75
2017,2006,"P.S.G. COLLEGE OF TECHNOLOGY (AUTONOMOUS),AVINASHI ROAD,,COIMBATORE DIST, PIN - 641004.",BY,BC,2,197
2017,2006,"P.S.G. COLLEGE OF TECHNOLOGY (AUTONOMOUS),AVINASHI ROAD,,COIMBATORE DIST, PIN - 641004.",PS,BC,63,194.75
2017,2007,"COIMBATORE INSTITUTE OF TECHNOLOGY (AUTONOMOUS),CIVIL AERODROME (POST) , COIMBATORE (VILLAGE),COIMBATORE DIST, PIN - 641014.",EM,BC,8,197.75
2017,2007,"COIMBATORE INSTITUTE OF TECHNOLOGY (AUTONOMOUS),CIVIL AERODROME (POST) , COIMBATORE (VILLAGE),COIMBATORE DIST, PIN - 641014.",CN,BC,56,194.75
2017,2007,"COIMBATORE INSTITUTE OF TECHNOLOGY (AUTONOMOUS),CIVIL AERODROME (POST) , COIMBATORE (VILLAGE),COIMBATORE DIST, PIN - 641014.",EC,BC,9,198.25
2017,2007,"COIMBATORE INSTITUTE OF TECHNOLOGY (AUTONOMOUS),CIVIL AERODROME (POST) , COIMBATORE (VILLAGE),COIMBATORE DIST, PIN - 641014.",EE,BC,7,197.5
2017,2007,"COIMBATORE INSTITUTE OF TECHNOLOGY (AUTONOMOUS),CIVIL AERODROME (POST) , COIMBATORE (VILLAGE),COIMBATORE DIST, PIN - 641014.",CM,BC,6,197.25
2017,2007,"COIMBATORE INSTITUTE OF TECHNOLOGY (AUTONOMOUS),CIVIL AERODROME (POST) , COIMBATORE (VILLAGE),COIMBATORE DIST, PIN - 641014.",EY,BC,53,197
2017,2007,"COIMBATORE INSTITUTE OF TECHNOLOGY (AUTONOMOUS),CIVIL AERODROME (POST) , COIMBATORE (VILLAGE),COIMBATORE DIST, PIN - 641014.",CS,BC,5,197.5
2017,2007,"COIMBATORE INSTITUTE OF TECHNOLOGY (AUTONOMOUS),CIVIL AERODROME (POST) , COIMBATORE (VILLAGE),COIMBATORE DIST, PIN - 641014.",CH,BC,21,196.25
2017,2007,"COIMBATORE INSTITUTE OF TECHNOLOGY (AUTONOMOUS),CIVIL AERODROME (POST) , COIMBATORE (VILLAGE),COIMBATORE DIST, PIN - 641014.",IM,BC,12,196.75
2017,2007,"COIMBATORE INSTITUTE OF TECHNOLOGY (AUTONOMOUS),CIVIL AERODROME (POST) , COIMBATORE (VILLAGE),COIMBATORE DIST, PIN - 641014.",MF,BC,38,197.5
2017,2007,"COIMBATORE INSTITUTE OF TECHNOLOGY (AUTONOMOUS),CIVIL AERODROME (POST) , COIMBATORE (VILLAGE),COIMBATORE DIST, PIN - 641014.",ME,BC,15,198
2017,2007,"COIMBATORE INSTITUTE OF TECHNOLOGY (AUTONOMOUS),CIVIL AERODROME (POST) , COIMBATORE (VILLAGE),COIMBATORE DIST, PIN - 641014.",CE,BC,3,196.5
2017,2712,"KUMARAGURU COLLEGE OF TECHNOLOGY (AUTONOMOUS),POST BOX NO. 2034,COIMBATORE DIST, PIN - 641049.",CS,BC,5,196
2017,2712,"KUMARAGURU COLLEGE OF TECHNOLOGY (AUTONOMOUS),POST BOX NO. 2034,COIMBATORE DIST, PIN - 641049.",EC,BC,9,196.25
2017,2712,"KUMARAGURU COLLEGE OF TECHNOLOGY (AUTONOMOUS),POST BOX NO. 2034,COIMBATORE DIST, PIN - 641049.",EI,BC,35,194.75
2017,2712,"KUMARAGURU COLLEGE OF TECHNOLOGY (AUTONOMOUS),POST BOX NO. 2034,COIMBATORE DIST, PIN - 641049.",BT,BC,39,194
2017,2712,"KUMARAGURU COLLEGE OF TECHNOLOGY (AUTONOMOUS),POST BOX NO. 2034,COIMBATORE DIST, PIN - 641049.",CE,BC,3,193
2017,2712,"KUMARAGURU COLLEGE OF TECHNOLOGY (AUTONOMOUS),POST BOX NO. 2034,COIMBATORE DIST, PIN - 641049.",EE,BC,7,195.5
2017,2712,"KUMARAGURU COLLEGE OF TECHNOLOGY (AUTONOMOUS),POST BOX NO. 2034,COIMBATORE DIST, PIN - 641049.",MC,BC,42,194.25
2017,2712,"KUMARAGURU COLLEGE OF TECHNOLOGY (AUTONOMOUS),POST BOX NO. 2034,COIMBATORE DIST, PIN - 641049.",AU,BC,31,193.25
2017,2712,"KUMARAGURU COLLEGE OF TECHNOLOGY (AUTONOMOUS),POST BOX NO. 2034,COIMBATORE DIST, PIN - 641049.",IT,BC,33,195.25
2017,2712,"KUMARAGURU COLLEGE OF TECHNOLOGY (AUTONOMOUS),POST BOX NO. 2034,COIMBATORE DIST, PIN - 641049.",TX,BC,29,189.5
2017,2712,"KUMARAGURU COLLEGE OF TECHNOLOGY (AUTONOMOUS),POST BOX NO. 2034,COIMBATORE DIST, PIN - 641049.",FT,BC,50,189.25
2017,2712,"KUMARAGURU COLLEGE OF TECHNOLOGY (AUTONOMOUS),POST BOX NO. 2034,COIMBATORE DIST, PIN - 641049.",ME,BC,15,195.25
2017,2712,"KUMARAGURU COLLEGE OF TECHNOLOGY (AUTONOMOUS),POST BOX NO. 2034,COIMBATORE DIST, PIN - 641049.",AE,BC,30,192.5
2017,2711,"KONGU ENGINEERING COLLEGE (AUTONOMOUS),PERUNDURAI RAILWAY STATION ROAD,,ERODE DIST, PIN - 638060.",CH,BC,21,189
2017,2711,"KONGU ENGINEERING COLLEGE (AUTONOMOUS),PERUNDURAI RAILWAY STATION ROAD,,ERODE DIST, PIN - 638060.",IT,BC,33,191
2017,2711,"KONGU ENGINEERING COLLEGE (AUTONOMOUS),PERUNDURAI RAILWAY STATION ROAD,,ERODE DIST, PIN - 638060.",CS,BC,5,192.5
2017,2711,"KONGU ENGINEERING COLLEGE (AUTONOMOUS),PERUNDURAI RAILWAY STATION ROAD,,ERODE DIST, PIN - 638060.",EC,BC,9,193.25
2017,2711,"KONGU ENGINEERING COLLEGE (AUTONOMOUS),PERUNDURAI RAILWAY STATION ROAD,,ERODE DIST, PIN - 638060.",CE,BC,3,182.75
2017,2711,"KONGU ENGINEERING COLLEGE (AUTONOMOUS),PERUNDURAI RAILWAY STATION ROAD,,ERODE DIST, PIN - 638060.",MC,BC,42,188.5
2017,2711,"KONGU ENGINEERING COLLEGE (AUTONOMOUS),PERUNDURAI RAILWAY STATION ROAD,,ERODE DIST, PIN - 638060.",FD,BC,51,188.5
2017,2711,"KONGU ENGINEERING COLLEGE (AUTONOMOUS),PERUNDURAI RAILWAY STATION ROAD,,ERODE DIST, PIN - 638060.",ME,BC,15,190
2017,2711,"KONGU ENGINEERING COLLEGE (AUTONOMOUS),PERUNDURAI RAILWAY STATION ROAD,,ERODE DIST, PIN - 638060.",EI,BC,35,189
2017,2711,"KONGU ENGINEERING COLLEGE (AUTONOMOUS),PERUNDURAI RAILWAY STATION ROAD,,ERODE DIST, PIN - 638060.",AU,BC,31,185
2017,2711,"KONGU ENGINEERING COLLEGE (AUTONOMOUS),PERUNDURAI RAILWAY STATION ROAD,,ERODE DIST, PIN - 638060.",EE,BC,7,192.25
2017,1315,"SRI SIVASUBRAMANIYA NADAR COLLEGE OF ENGINEERING (AUTONOMOUS),RAJIV GANDHI SALAI (OMR),KANCHEEPURAM DIST, PIN - 603110.",CS,BC,5,197
2017,1315,"SRI SIVASUBRAMANIYA NADAR COLLEGE OF ENGINEERING (AUTONOMOUS),RAJIV GANDHI SALAI (OMR),KANCHEEPURAM DIST, PIN - 603110.",EC,BC,9,197.25
